provider,team_id,team_id_source,team_name,club_name,opponent_id,opponent_id_source,opponent_name,opponent_club_name,age_group,gender,state,competition,division_name,event_name,venue,mls_division,game_date,home_away,goals_for,goals_against,result,source_url,scraped_at
modular11,1289,1289,PDA Hibernian U13 AD,PDA Hibernian,1291,1291,Trenton City Soccer Club U13 AD,Trenton City Soccer Club,U13,Male,,AD,Mid-Atlantic,AD,PDA Stadium Field at Notre Dame High School - PDA Stadium Field,AD,2025-11-08,H,4,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1291,1291,Trenton City Soccer Club U13 AD,Trenton City Soccer Club,1289,1289,PDA Hibernian U13 AD,PDA Hibernian,U13,Male,,AD,Mid-Atlantic,AD,PDA Stadium Field at Notre Dame High School - PDA Stadium Field,AD,2025-11-08,A,1,4,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1144,1144,AC River U13 AD,AC River,1266,1266,Capital City North U13 AD,Capital City North,U13,Male,,AD,Pioneer,AD,Soccer Central - Field #2,AD,2025-11-08,H,7,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1266,1266,Capital City North U13 AD,Capital City North,1144,1144,AC River U13 AD,AC River,U13,Male,,AD,Pioneer,AD,Soccer Central - Field #2,AD,2025-11-08,A,1,7,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1344,1344,Grand Junction Soccer Club U13 AD,Grand Junction Soccer Club,964,964,ALBION SC Colorado U13 AD,ALBION SC Colorado,U13,Male,,AD,Mountain,AD,Grand Junction High School,AD,2025-11-08,H,1,5,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,964,964,ALBION SC Colorado U13 AD,ALBION SC Colorado,1344,1344,Grand Junction Soccer Club U13 AD,Grand Junction Soccer Club,U13,Male,,AD,Mountain,AD,Grand Junction High School,AD,2025-11-08,A,5,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,856,856,Athletum FC Academy U13 AD,Athletum FC Academy,1243,1243,Jacksonville FC U13 AD,Jacksonville FC,U13,Male,,AD,Sunshine,AD,Miramar Regional Park - East Field 1,AD,2025-11-08,H,3,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1243,1243,Jacksonville FC U13 AD,Jacksonville FC,856,856,Athletum FC Academy U13 AD,Athletum FC Academy,U13,Male,,AD,Sunshine,AD,Miramar Regional Park - East Field 1,AD,2025-11-08,A,1,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,278,278,South Florida Football Academy U13 AD,South Florida Football Academy,364,364,Orlando City Youth SC U13 AD,Orlando City Youth SC,U13,Male,,AD,Sunshine,AD,Loggers Run Park - Field # 1,AD,2025-11-08,H,9,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,364,364,Orlando City Youth SC U13 AD,Orlando City Youth SC,278,278,South Florida Football Academy U13 AD,South Florida Football Academy,U13,Male,,AD,Sunshine,AD,Loggers Run Park - Field # 1,AD,2025-11-08,A,1,9,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,387,387,Tampa Bay United U13 AD,Tampa Bay United,37,37,IMG U13 AD,IMG,U13,Male,,AD,Sunshine,AD,Ed Radice Sports Complex - Field 6,AD,2025-11-08,H,2,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,37,37,IMG U13 AD,IMG,387,387,Tampa Bay United U13 AD,Tampa Bay United,U13,Male,,AD,Sunshine,AD,Ed Radice Sports Complex - Field 6,AD,2025-11-08,A,0,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1275,1275,Connecticut Rush U13 AD,Connecticut Rush,1276,1276,Ginga FC U13 AD,Ginga FC,U13,Male,,AD,New England,AD,Connecticut Sportsplex - Field 1,AD,2025-11-08,H,2,2,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1276,1276,Ginga FC U13 AD,Ginga FC,1275,1275,Connecticut Rush U13 AD,Connecticut Rush,U13,Male,,AD,New England,AD,Connecticut Sportsplex - Field 1,AD,2025-11-08,A,2,2,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1348,1348,Monarchs AZ U13 AD,Monarchs AZ,1347,1347,City SC Utah U13 AD,City SC Utah,U13,Male,,AD,Desert,AD,Naranja - Field 2,AD,2025-11-08,H,7,2,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1347,1347,City SC Utah U13 AD,City SC Utah,1348,1348,Monarchs AZ U13 AD,Monarchs AZ,U13,Male,,AD,Desert,AD,Naranja - Field 2,AD,2025-11-08,A,2,7,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,913,913,Wasatch SC U13 AD,Wasatch SC,390,390,Phoenix Rising FC U13 AD,Phoenix Rising FC,U13,Male,,AD,Desert,AD,Murray Athletic Park - Center,AD,2025-11-08,H,12,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,390,390,Phoenix Rising FC U13 AD,Phoenix Rising FC,913,913,Wasatch SC U13 AD,Wasatch SC,U13,Male,,AD,Desert,AD,Murray Athletic Park - Center,AD,2025-11-08,A,1,12,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1304,1304,One FC U13 AD,One FC,252,252,United Soccer Alliance U13 AD,United Soccer Alliance,U13,Male,,AD,Sunshine,AD,Monsignor Edward Pace High School - Stadium,AD,2025-11-08,H,12,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,252,252,United Soccer Alliance U13 AD,United Soccer Alliance,1304,1304,One FC U13 AD,One FC,U13,Male,,AD,Sunshine,AD,Monsignor Edward Pace High School - Stadium,AD,2025-11-08,A,1,12,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,463,463,IdeaSport SA U13 AD,IdeaSport SA,1303,1303,Galacticos Soccer Academy U13 AD,Galacticos Soccer Academy,U13,Male,,AD,Sunshine,AD,North East Regional Park - NERP #5,AD,2025-11-08,H,0,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1303,1303,Galacticos Soccer Academy U13 AD,Galacticos Soccer Academy,463,463,IdeaSport SA U13 AD,IdeaSport SA,U13,Male,,AD,Sunshine,AD,North East Regional Park - NERP #5,AD,2025-11-08,A,2,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:38.675405
modular11,1143,1143,Downtown United Soccer Club U13 AD,Downtown United Soccer Club,791,791,FC Harlem U13 AD,FC Harlem,U13,Male,,AD,Tri-State,AD,Pier 40 CourtYard - West Field,AD,2025-11-08,H,0,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,791,791,FC Harlem U13 AD,FC Harlem,1143,1143,Downtown United Soccer Club U13 AD,Downtown United Soccer Club,U13,Male,,AD,Tri-State,AD,Pier 40 CourtYard - West Field,AD,2025-11-08,A,2,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1330,1330,St. Louis Development Academy U13 AD,St. Louis Development Academy,468,468,Lou Fusz Athletic U13 AD,Lou Fusz Athletic,U13,Male,,AD,Heartland,AD,SportPort Complex - Field 8,AD,2025-11-08,H,3,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,468,468,Lou Fusz Athletic U13 AD,Lou Fusz Athletic,1330,1330,St. Louis Development Academy U13 AD,St. Louis Development Academy,U13,Male,,AD,Heartland,AD,SportPort Complex - Field 8,AD,2025-11-08,A,1,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,879,879,Colorado United SC U13 AD,Colorado United SC,1077,1077,ALBION SC Denver U13 AD,ALBION SC Denver,U13,Male,,AD,Mountain,AD,Cornerstone Park - Field 4,AD,2025-11-08,H,4,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1077,1077,ALBION SC Denver U13 AD,ALBION SC Denver,879,879,Colorado United SC U13 AD,Colorado United SC,U13,Male,,AD,Mountain,AD,Cornerstone Park - Field 4,AD,2025-11-08,A,0,4,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,43,43,Vardar Soccer Club U13 AD,Vardar Soccer Club,1313,1313,Michigan Tigers FC U13 AD,Michigan Tigers FC,U13,Male,,AD,Great Lakes North,AD,Avondale High School - Main Turf Field,AD,2025-11-08,H,0,5,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1313,1313,Michigan Tigers FC U13 AD,Michigan Tigers FC,43,43,Vardar Soccer Club U13 AD,Vardar Soccer Club,U13,Male,,AD,Great Lakes North,AD,Avondale High School - Main Turf Field,AD,2025-11-08,A,5,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,848,848,The St. James U13 AD,The St. James,1294,1294,Virginia Revolution SC U13 AD,Virginia Revolution SC,U13,Male,,AD,Virginia,AD,Hal and Berni Hanson Regional Park Field #3,AD,2025-11-08,H,7,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1294,1294,Virginia Revolution SC U13 AD,Virginia Revolution SC,848,848,The St. James U13 AD,The St. James,U13,Male,,AD,Virginia,AD,Hal and Berni Hanson Regional Park Field #3,AD,2025-11-08,A,1,7,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,395,395,LA Surf Soccer Club U13 AD,LA Surf Soccer Club,397,397,Ventura County Fusion U13 AD,Ventura County Fusion,U13,Male,,AD,SoCal,AD,Arcadia High School - Stadium,AD,2025-11-08,H,4,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,397,397,Ventura County Fusion U13 AD,Ventura County Fusion,395,395,LA Surf Soccer Club U13 AD,LA Surf Soccer Club,U13,Male,,AD,SoCal,AD,Arcadia High School - Stadium,AD,2025-11-08,A,1,4,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1336,1336,Sound FC U13 AD,Sound FC,909,909,Western Washington Surf SC U13 AD,Western Washington Surf SC,U13,Male,,AD,Pacific Northwest,AD,Northcreek Sports Fields - Field 4,AD,2025-11-08,H,0,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,909,909,Western Washington Surf SC U13 AD,Western Washington Surf SC,1336,1336,Sound FC U13 AD,Sound FC,U13,Male,,AD,Pacific Northwest,AD,Northcreek Sports Fields - Field 4,AD,2025-11-08,A,2,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,580,580,FC Tucson Youth Soccer Club U13 AD,FC Tucson Youth Soccer Club,1346,1346,Celtic Storm U13 AD,Celtic Storm,U13,Male,,AD,Desert,AD,Kino Sports Complex North - Kino North Field 2,AD,2025-11-08,H,3,2,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1346,1346,Celtic Storm U13 AD,Celtic Storm,580,580,FC Tucson Youth Soccer Club U13 AD,FC Tucson Youth Soccer Club,U13,Male,,AD,Desert,AD,Kino Sports Complex North - Kino North Field 2,AD,2025-11-08,A,2,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1350,1350,Sparta United Soccer Club U13 AD,Sparta United Soccer Club,389,389,SC Del Sol U13 AD,SC Del Sol,U13,Male,,AD,Desert,AD,Waterford High School - Turf,AD,2025-11-08,H,6,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,389,389,SC Del Sol U13 AD,SC Del Sol,1350,1350,Sparta United Soccer Club U13 AD,Sparta United Soccer Club,U13,Male,,AD,Desert,AD,Waterford High School - Turf,AD,2025-11-08,A,1,6,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,942,942,GFI Academy South U13 AD,GFI Academy South,941,941,GFI Academy North U13 AD,GFI Academy North,U13,Male,,AD,Pioneer,AD,Alden Bridge Sports Park - Field 1,AD,2025-11-08,H,2,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,941,941,GFI Academy North U13 AD,GFI Academy North,942,942,GFI Academy South U13 AD,GFI Academy South,U13,Male,,AD,Pioneer,AD,Alden Bridge Sports Park - Field 1,AD,2025-11-08,A,3,2,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,241,241,Sporting Blue Valley U13 AD,Sporting Blue Valley,1271,1271,St. Louis Scott Gallagher St. Charles (Missouri) U13 AD,St. Louis Scott Gallagher St. Charles (Missouri),U13,Male,,AD,Heartland,AD,Swope Soccer Village - Field 5,AD,2025-11-08,H,3,3,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1271,1271,St. Louis Scott Gallagher St. Charles (Missouri) U13 AD,St. Louis Scott Gallagher St. Charles (Missouri),241,241,Sporting Blue Valley U13 AD,Sporting Blue Valley,U13,Male,,AD,Heartland,AD,Swope Soccer Village - Field 5,AD,2025-11-08,A,3,3,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1270,1270,Lou Fusz Athletic 2 U13 AD,Lou Fusz Athletic 2,1329,1329,Sporting Springfield U13 AD,Sporting Springfield,U13,Male,,AD,Heartland,AD,Lou Fusz Athletic Soccer Complex - Field #5,AD,2025-11-08,H,1,5,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1329,1329,Sporting Springfield U13 AD,Sporting Springfield,1270,1270,Lou Fusz Athletic 2 U13 AD,Lou Fusz Athletic 2,U13,Male,,AD,Heartland,AD,Lou Fusz Athletic Soccer Complex - Field #5,AD,2025-11-08,A,5,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1287,1287,Coppermine SC U13 AD,Coppermine SC,62,62,FC DELCO U13 AD,FC DELCO,U13,Male,,AD,Mid-Atlantic,AD,Cardinal Gibbons 11v11 Field,AD,2025-11-08,H,2,2,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,62,62,FC DELCO U13 AD,FC DELCO,1287,1287,Coppermine SC U13 AD,Coppermine SC,U13,Male,,AD,Mid-Atlantic,AD,Cardinal Gibbons 11v11 Field,AD,2025-11-08,A,2,2,D,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,399,399,West Florida Flames U13 AD,West Florida Flames,36,36,Chargers Soccer Club U13 AD,Chargers Soccer Club,U13,Male,,AD,Sunshine,AD,JC Handly Sport Complex - JC Handly Park # 6,AD,2025-11-08,H,2,0,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,36,36,Chargers Soccer Club U13 AD,Chargers Soccer Club,399,399,West Florida Flames U13 AD,West Florida Flames,U13,Male,,AD,Sunshine,AD,JC Handly Sport Complex - JC Handly Park # 6,AD,2025-11-08,A,0,2,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1289,1289,PDA Hibernian U13 AD,PDA Hibernian,1291,1291,Trenton City Soccer Club U13 AD,Trenton City Soccer Club,U13,Male,,AD,Mid-Atlantic,AD,PDA Stadium Field at Notre Dame High School - PDA Stadium Field,AD,2025-11-08,H,4,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1291,1291,Trenton City Soccer Club U13 AD,Trenton City Soccer Club,1289,1289,PDA Hibernian U13 AD,PDA Hibernian,U13,Male,,AD,Mid-Atlantic,AD,PDA Stadium Field at Notre Dame High School - PDA Stadium Field,AD,2025-11-08,A,1,4,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1144,1144,AC River U13 AD,AC River,1266,1266,Capital City North U13 AD,Capital City North,U13,Male,,AD,Pioneer,AD,Soccer Central - Field #2,AD,2025-11-08,H,7,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1266,1266,Capital City North U13 AD,Capital City North,1144,1144,AC River U13 AD,AC River,U13,Male,,AD,Pioneer,AD,Soccer Central - Field #2,AD,2025-11-08,A,1,7,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1344,1344,Grand Junction Soccer Club U13 AD,Grand Junction Soccer Club,964,964,ALBION SC Colorado U13 AD,ALBION SC Colorado,U13,Male,,AD,Mountain,AD,Grand Junction High School,AD,2025-11-08,H,1,5,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,964,964,ALBION SC Colorado U13 AD,ALBION SC Colorado,1344,1344,Grand Junction Soccer Club U13 AD,Grand Junction Soccer Club,U13,Male,,AD,Mountain,AD,Grand Junction High School,AD,2025-11-08,A,5,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,856,856,Athletum FC Academy U13 AD,Athletum FC Academy,1243,1243,Jacksonville FC U13 AD,Jacksonville FC,U13,Male,,AD,Sunshine,AD,Miramar Regional Park - East Field 1,AD,2025-11-08,H,3,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,1243,1243,Jacksonville FC U13 AD,Jacksonville FC,856,856,Athletum FC Academy U13 AD,Athletum FC Academy,U13,Male,,AD,Sunshine,AD,Miramar Regional Park - East Field 1,AD,2025-11-08,A,1,3,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,278,278,South Florida Football Academy U13 AD,South Florida Football Academy,364,364,Orlando City Youth SC U13 AD,Orlando City Youth SC,U13,Male,,AD,Sunshine,AD,Loggers Run Park - Field # 1,AD,2025-11-08,H,9,1,W,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
modular11,364,364,Orlando City Youth SC U13 AD,Orlando City Youth SC,278,278,South Florida Football Academy U13 AD,South Florida Football Academy,U13,Male,,AD,Sunshine,AD,Loggers Run Park - Field # 1,AD,2025-11-08,A,1,9,L,https://www.modular11.com/public_schedule/league/get_matches,2025-12-03T17:56:39.183778
